address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,addresses_in_out,class
15fcEUmKXBiScw2CDwKEre2YE8brvWPxVA,2051098,5,15,33,33,1,165,165,165,165,0.1,7.45,0.1,0.225757576,7.45,0,0
121E9w1ogmjowDbJmkmCuqqQGztJteR78A,76904856,4,87,2.793103448,81,29,29040,60882,278857,2981,141.5777026,141.5777026,4.881989744,1.747872871,141.5777026,0,0
12Hd6yd28NXoLuBYwqfncv3J7xXQnKKhGb,178822511,8,118,39.6,198,5,8595,8595,8595,8595,10.05371573,30.87671499,2.010743146,0.155943005,30.87671499,0,0
166uYUb7ogk1xyxSSYQzdXRefdbYJaMTjs,934241,8,10,7.75,31,4,5365,8232.5,22200,0,106.17,106.17,26.5425,3.42483871,106.17,0,0
16Zf5yBa2BhitYZMdENxAfkPs244YTG7y4,706251,13,8,1.285714286,18,14,2812,41064.25,259088,647,330.77,330.77,23.62642857,18.37611111,330.77,1,0
17wLBifUVkmAovSbVGJcXTvsgUiSMa1rjx,60486384,2,23,6.5,26,4,28461.5,28461.5,40186,16737,20.35,20.83,5.0875,0.801153846,20.83,0,0
1EyzXkzD4bRRJFwWs48rhtwe6WsE8bxARJ,69263235,2,29,3.428571429,24,7,118027,148656.5,340869,17703,61.45288979,61.45288979,8.778984256,2.560537075,61.45288979,0,0
14XDyg1YkQFEkjJEHGYS1x3MSGEnhhATtH,3669366,9,22,21,42,2,30455.5,30455.5,52904,8007,2.47,2.77,1.235,0.065952381,2.77,0,0
19QgdEbau15zQVNoTuMHtRRz4nsYv7mgSy,4484595,3,22,7.666666667,23,3,3040,4172.666667,7479,1999,4.03,4.12,1.343333333,0.179130435,4.12,0,0
1PkiFqu4w85DDvZ1bTgyPKijw99bpHz3dD,72575041,2,37,6.8,34,5,520821,520821,520821,520821,1.13,1.15,0.138,0.020882353,0.71,0,0
18UGJzDev87mqZZxiAH3JyQNtXXpBT2HsS,11243809,9,12,1.2,18,15,20781.5,62177.875,263032,198,58.5,58.5,3.9,3.25,58.5,0,0
1B7SvpLs2bmB8mGX2Bqdqn8UToTB1qgwUd,77253844,5,317,3.111111111,308,99,43348.5,126045.6087,1314205,0,7563.662036,7563.662036,76.40062662,24.55734427,7563.662036,4,0
1MwLj2SfC1yEm8spki1d9SdhhXZR6gHprB,76249893,18,405,23.22222222,836,36,16357,654168.4828,14080129,0,670.9953461,670.9953461,18.63875961,0.802626012,670.9953461,0,0
1BSmoCScpjyPbdnZV2ZUeCTX9Bae4VXiYS,42481278,3,19,3.333333333,20,6,273147.5,273147.5,293670,252625,39.20823399,39.20823399,6.534705665,1.960411699,39.20823399,0,0
1Cz5hcRr2du74AF5MCvy8zKRFd4AyMBZjJ,5035150,3,38,3.5,42,12,6807,16101.63636,87451,244,52.73,52.73,4.394166667,1.25547619,52.73,0,0
1JUPzoHfzjrrFdQETfTixa6LXB4bH4BAC4,4007020,3,25,2.5,25,10,81414,140688.1111,355651,609,12.25772718,12.25772718,1.225772718,0.490309087,12.25772718,0,0
1GVjehxXUGK1hoV7Fq35PLu27o8nVpMwD7,136675289,18,23,86,86,1,22503,22503,22503,22503,1.01000561,25.17616953,1.01000561,0.292746157,25.17616953,0,0
1HjhBXfshDn73mKGLN9VAFDWD4vGTmbc3w,220745459,9,76,1.75,63,36,60291,19233018,57580495,58268,307.34975,307.34975,7.893326389,4.510472222,284.15975,0,0
1FDDLBSKjg9exoEohjKznK6AX1hRMNEG94,58939034,3,65,4.0625,65,16,32873.5,33963,91437,0,32.80856668,32.81756668,2.049972918,0.50474718,32.80856668,0,0
1bxKRy21nwEUd7MaupgAC2rMJHSexE3PQ,3719321,14,34,2.72,68,25,5435,25282.11111,76154,0,188.18,188.18,7.5272,2.767352941,188.18,0,0
12Nz4NGjYPikWev6mEUd5S8fhynXaowge4,126827197,6,63,4.65,93,20,44646,209911.9231,1037245,2511,755.5045896,755.5045896,37.77522948,8.123705264,755.5045896,2,0
19sExim4VjwWLt8xAmiYqAm9kax44wZSKD,22509301,12,68,1.392405063,220,158,7113,11520.18182,59815,0,26.21,26.21,0.165886076,0.119136364,26.21,0,0
12QQ34rmJ68ooSEntKKhRQm5181vBnfsPK,52822599,3,45,3.333333333,40,12,279018,1871726.875,12989482,0,17.49173242,17.49173242,1.457644368,0.437293311,17.49173242,2,0
16w9KgywKrdJaQMVQyWr313HLsxtJqJwat,5039513,6,11,7.666666667,23,3,166381.5,166381.5,299216,33547,0.76475858,0.76475858,0.254919527,0.033250373,0.76475858,0,0
169g8d2ocjasKr1WPM3PTeY31LECvogQB4,41172925,3,45,2.294117647,39,17,78024,579626.2222,2482965,1548,43.36,43.36,2.550588235,1.111794872,43.36,0,0
1ENR3cKs3mcEyMBUSUfMrJRD8dMJZtkLUQ,194097573,3,18,4.6,23,5,41463490,41463490,41463490,41463490,4.82,4.82000001,0.964,0.209565218,4.82000001,0,0
12cU6GoRKxdWub61XQMPuLNkxmmqjnw2sJ,59832270,3,64,6.2,62,10,620848,919453.2857,2842571,7823,5.85119539,5.85119539,0.585119539,0.094374119,5.85119539,0,0
13QRsh88ewye6oAUzafZ6zZjtAV36JX14Q,150502776,1,27,5.75,23,4,19422809.5,19422809.5,38382477,463142,4.51505277,4.51505277,1.128763193,0.196306642,4.51505277,0,0
1Pvt41pRmHF66RBA8hrHCQnmTJ5Rst7nqY,37758057,3,29,1.157894737,22,19,63260,422901.7222,5912223,5208,126.3497276,126.3497276,6.649985664,5.743169437,126.3497276,0,0
1Auvmqh2JEtJgMkNuujBCZR6vQCwDg2sgi,4182037,2,30,3.222222222,29,9,20282.5,81618.75,480034,744,27.46,27.46,3.051111111,0.946896552,27.46,0,0
1AKPi9AvKftfRcw7FwESgf944frtuTyC3N,8448651,6,88,5.6,112,20,2747,10586.45,38458,179,44.32189248,45.59189248,2.216094624,0.407070469,45.59189248,0,0
15ma5jJto3voRxBbweeBQuR9JWk4PSSHsg,14398667,24,27,1.070175439,61,57,1034,9630.18,249828,0,112.93,112.93,1.98122807,1.851311475,112.93,1,0
16uoU4XVnCnwXUE42ALj1K3X72JPeF2d48,9507889,4,28,2.066666667,31,15,1949,45740.15385,243846,372,75.16792625,75.16792625,5.011195083,2.424771815,75.16792625,0,0
1Bf9ChN9Ck1aBKBdj7aTxyenxzHRHsTUSc,69314774,3,44,19,57,3,9034,9034,9034,9034,11.73,60.73,3.91,1.065438596,60.73,0,0
19itXj5FjgJG9cjebgTqCg5YW9oBjksEwN,7760186,33,54,6.12962963,331,54,4297,9743.326923,144555,0,267.61,267.61,4.955740741,0.808489426,267.61,0,0
13kagwRD3GtF6f7oL9rhC42HYCUT5S5yJY,62196891,10,16,2.666666667,24,9,8295,444951.5,1763216,0,1.65822579,2.00624662,0.18424731,0.083593609,2.00624662,2,0
1M2TE9WwayxZMyXsv4NDSx5i4WCFJwq9NE,84880388,3,22,4.6,23,5,33678.5,33678.5,46630,20727,105.3,105.3,21.06,4.57826087,105.3,0,0
16EeLa9BrZc1A4sasztaRdnfp3aU8DmuVC,194225314,8,113,6.136363636,135,22,147702,4541789.167,45828360,4769,556.4779273,556.4779273,25.29445124,4.12205872,556.4779273,0,0
1JEiqUSeUgfMPgoUvifWaqjUXZem4oDARa,38765943,10,37,24.14285714,169,7,4480,6112.2,15604,2432,89.1560932,89.1560932,12.73658474,0.527550847,89.1560932,0,0
1CSeF9fZiggN34CH9UE9MtsTfWRKaKQowS,86519830,3,90,7.833333333,94,12,31399,175295,1340287,3951,96.47311499,96.47311499,8.039426249,1.026309734,96.47311499,0,0
1C44dqdpCh9ZPuLg4ayRbdaHegs5muVy22,4272820,7,37,1.026315789,39,38,18587.5,30774.83333,83844,2551,4.03549892,4.03549892,0.10619734,0.103474331,4.03549892,0,0
1AjNKjzGtrnrziEzkypuU5aSRRK8cMm5UB,39996679,4,56,5.142857143,72,14,70880,142973.1667,526725,17599,42.16506492,42.16506492,3.011790351,0.585625902,42.16506492,0,0
1WLSx7PP1uDavVVAn5UREMAkXxB6NPCUs,62543419,3,28,3.181818182,35,11,12776,195771.25,1465044,1786,22.44,22.44,2.04,0.641142857,22.44,0,0
1K4ST8vyQfSf72jyLsbzg5U5rA2bY9fWSJ,121816644,3,26,2.625,21,8,177399,7379915.6,35706608,4991,0.86691067,0.86691067,0.108363834,0.04128146,0.86691067,0,0
1nggzuTDHDpCVZsEWcLsH8YfWGVDNyLxP,87375567,17,158,7.869565217,181,23,1907,190704.9333,1115872,0,22.75414702,22.75414702,0.98931074,0.125713519,22.75414702,3,0
1D7Zjogj8GV3qvLoDwiA9qjZ97sZZPzanp,6048694,12,16,1.045454545,23,22,5616,44879.83333,346982,0,814.1,814.1,37.00454545,35.39565217,814.1,2,0
1E5c6i2MjK1ErUyATWqQJXEtTgTuxUTsCc,3469794,10,18,1.25,25,20,4251,24124.13333,187147,0,635.33,635.33,31.7665,25.4132,635.33,0,0
1KhwVhc3Q4zmdX6ifVwyBxeZcUuzmmxyn1,93031042,4,33,2.727272727,30,11,247255,247255,483339,11171,31.96303155,31.96303155,2.905730141,1.065434385,31.96303155,0,0
