date,desc,btc_in,btc_out,hash,bal
20171123,PAYMENT RECEIVED,0.00990445,0,bf6ccbeb7c2fa0535f3229c9f5ab8412642deb718e281a9d4fb42800bf3fa043,0.01000445
20141221,PAYMENT RECEIVED,0.0001,0,9dd64803261aa39e63070aad206d57a6c1886303300f36b8a83fd525fcb3f50d,0.0001
20141125,PAYMENT SENT,0,-0.26305829,d35416dba2ae6dadd7df9fe57f2200b15ff7f1e7dea758143f5d1cb9a9388e45,0
20141113,PAYMENT RECEIVED,0.0002,0,a27e9ca7c93be1ced371299d648181e15ba2a8d1dbd36f828238bd01fde30af5,0.26305829
20140824,PAYMENT RECEIVED,0.0002,0,08a623800a875a86e29c2205dbfc01efa43e083a9d7b67770df67031c57c7d78,0.26285829
20140821,PAYMENT RECEIVED,0.0002,0,89db8804304d0c42a60f39bbfba52c7f143bb5a225f60b5334af310faa4e498d,0.26265829
20140729,PAYMENT RECEIVED,0.2545983,0,d581a9f30bf5d95b661acb5b64319a45988d6c12b64874493fc6bbb2414d592a,0.26245829
20140331,PAYMENT SENT,0,-19.001,f7f7148f624aeff97512750c86a24cf62b9c6be3a1023edd7b65cca33e36d64a,0.00785999
20140324,PAYMENT RECEIVED,0.04,0,52dfa32d5737e7bbc07e31a1f71dba1bf911ae6aca941c973ec446f54bca00de,19.89955999
20140331,PAYMENT SENT,0,-0.8907,f28667cc054d6078a2192aa4d99d995d438a024fe9016f4172430cc3f26219f1,19.00885999
20140322,PAYMENT RECEIVED,0.1072014,0,53d98c52f754587d74b9c29676df14b63c245ddbea65510c616f63955f76e0d9,19.85955999
20140322,PAYMENT RECEIVED,0.01,0,d858a34689cad6a3a11e2ac062fa02d979f2780f9f61626a9c19747341ed3572,19.75235859
20140322,PAYMENT RECEIVED,0.02,0,09c67254a6052f08eb797a7821ecf0e317a4885637b9ca5b025a5eaea908e43c,19.74235859
20140322,PAYMENT RECEIVED,0.021,0,ea435f053df4a769469e748ded291f6b5085e35263f72cb837621d83fb50bb25,19.72235859
20140322,PAYMENT RECEIVED,0.18,0,13f741a83c52b5b1db6124633ec619d197354bad8b3c86828767a49ef18c7ed9,19.70135859
20140322,PAYMENT RECEIVED,0.099,0,acd5344c60ea91bdc30ee71193aab6a10858d03c7ff75c866ef36ddda10b7f3c,19.52135859
20140321,PAYMENT RECEIVED,0.08,0,766b33f437606f33e84ea3364cd829dc5c84d1dad2bf28ee25ba9a00f1551bb3,19.29135859
20140322,PAYMENT RECEIVED,0.031,0,1334dd7236d9c48eab2a2386169b9b90c7d8f7fad3b25f6a95aea2e64877f1ea,19.32235859
20140322,PAYMENT RECEIVED,0.1,0,8a70f8ba17c3cbba61a03b97e6df7cf30bd595d1580f2397b16177154796080e,19.42235859
20140321,PAYMENT RECEIVED,0.02,0,8c9702e612dc21e8a8fb929fcae7ff323ab9b6a88238d423195dfeb3e58fa0d3,19.07035859
